15:24:42.882 spring-boot-logging [restartedMain] INFO  com.skywilling.cn.web.WebApplication - Starting WebApplication on smartcar with PID 29040 (D:\work\Projects\linxxx\SchedulingPlatform\web\target\classes started by Lin in D:\work\Projects\linxxx\SchedulingPlatform)
15:24:42.896 spring-boot-logging [restartedMain] INFO  com.skywilling.cn.web.WebApplication - The following profiles are active: dev
15:24:43.080 spring-boot-logging [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15:24:43.081 spring-boot-logging [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
15:24:46.325 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
15:24:46.326 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
15:24:46.366 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26ms. Found 0 repository interfaces.
15:24:46.426 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
15:24:46.434 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
15:24:46.483 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5ms. Found 0 repository interfaces.
15:24:47.082 spring-boot-logging [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$81a15952] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:24:48.181 spring-boot-logging [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
15:24:48.298 spring-boot-logging [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
15:24:48.346 spring-boot-logging [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15:24:48.347 spring-boot-logging [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
15:24:48.394 spring-boot-logging [restartedMain] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\applications\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\Git\cmd;D:\applications\apache-maven-3.5.4\bin;D:\applications\bin;;C:\Program Files\Microsoft VS Code\bin;C:\Users\Lin\AppData\Local\Microsoft\WindowsApps;;.]
15:24:48.655 spring-boot-logging [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15:24:48.656 spring-boot-logging [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5499 ms
15:24:53.227 spring-boot-logging [restartedMain] INFO  c.s.c.c.i.server.NettyServer - listen on port: 9005
15:24:57.825 spring-boot-logging [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
15:24:59.891 spring-boot-logging [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
15:25:00.213 spring-boot-logging [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
15:25:00.264 spring-boot-logging [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
15:25:00.275 spring-boot-logging [restartedMain] INFO  com.skywilling.cn.web.WebApplication - Started WebApplication in 18.357 seconds (JVM running for 21.283)
16:04:12.727 spring-boot-logging [restartedMain] INFO  com.skywilling.cn.web.WebApplication - Starting WebApplication on smartcar with PID 17352 (D:\work\Projects\linxxx\SchedulingPlatform\web\target\classes started by Lin in D:\work\Projects\linxxx\SchedulingPlatform)
16:04:12.739 spring-boot-logging [restartedMain] INFO  com.skywilling.cn.web.WebApplication - The following profiles are active: dev
16:04:12.829 spring-boot-logging [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:04:12.829 spring-boot-logging [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:04:15.395 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
16:04:15.396 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
16:04:15.419 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 repository interfaces.
16:04:15.437 spring-boot-logging [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
